City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
325,ginir,32,ET,1556231779,70,7.14,40.71,61.57,5.84
326,logansport,90,US,1556231709,100,40.75,-86.36,62.01,5.82
327,bitlis,0,TR,1556231780,65,38.4,42.11,32.17,6.31
328,zaraza,100,VE,1556231780,66,9.35,-65.33,83.2,7.99
329,hami,26,CN,1556231781,30,42.84,93.51,65.91,19.04
330,rayadrug,99,IN,1556231781,77,14.7,76.87,78.45,9.89
331,corsicana,1,US,1556231768,44,32.09,-96.46,82.99,10.29
332,leningradskiy,55,RU,1556231781,75,69.38,178.42,28.18,5.77
333,waingapu,24,ID,1556231782,78,-9.65,120.26,79.66,12.06
334,cururupu,100,BR,1556231782,99,-1.82,-44.87,75.34,1.34
335,hernani,40,ES,1556231705,66,43.27,-1.98,57.0,5.82
336,asifabad,50,IN,1556231785,28,19.38,79.29,91.39,7.96
337,heishan,61,CN,1556231785,25,41.69,122.12,52.69,15.55
338,aksu,0,KZ,1556229600,93,52.04,76.93,41.0,11.18
339,whitianga,87,NZ,1556231711,75,-36.83,175.7,68.0,8.99
340,codrington,90,AU,1556231482,93,-28.95,153.24,68.0,6.93
341,belmonte,93,PT,1556231435,92,40.36,-7.35,46.99,5.99
342,kotri,0,PK,1556231787,32,25.36,68.31,86.84,12.44
343,camacha,20,PT,1556229600,63,33.08,-16.33,62.6,8.05
344,shenjiamen,82,CN,1556231643,86,29.96,122.3,59.03,7.38
345,shelburne,1,CA,1556231498,65,44.08,-80.2,61.0,17.22
346,rio grande,90,BR,1556228700,93,-32.03,-52.1,66.2,9.17
347,dunedin,6,NZ,1556231569,62,-45.87,170.5,61.0,15.01
348,bridlington,32,GB,1556231766,93,54.08,-0.19,48.0,3.36
349,cloquet,40,US,1556231780,14,46.72,-92.46,69.8,13.87
350,atbasar,100,KZ,1556231792,74,51.81,68.36,37.75,4.61
351,kokstad,0,ZA,1556231792,74,-30.55,29.42,47.01,4.65
352,monopoli,90,IT,1556231773,100,40.95,17.3,63.0,12.75
353,el alto,75,BO,1556229600,58,-16.5,-68.19,55.4,9.17
354,witu,20,KE,1556229360,79,-2.39,40.44,84.2,6.93
355,cuamba,98,MZ,1556231794,85,-14.8,36.54,67.0,5.55
356,college,20,US,1556231755,28,64.86,-147.8,48.99,5.39
357,ermoupolis,100,GR,1556231692,72,37.44,24.94,63.0,2.24
358,ranong,20,TH,1556226000,94,9.96,98.62,78.8,5.41
359,camargo,0,MX,1556231795,11,27.69,-105.17,83.56,4.29
360,tekeli,95,KZ,1556231796,61,44.86,78.76,44.72,7.78
361,tranas,1,SE,1556231528,75,58.04,14.98,46.99,3.36
362,taoudenni,0,ML,1556231799,12,22.68,-3.98,82.23,5.84
363,vardo,90,US,1556231584,63,39.62,-77.74,72.0,5.82
364,madanapalle,87,IN,1556231800,62,13.56,78.5,75.81,4.72
365,morgan city,40,US,1556231757,78,29.7,-91.21,78.8,12.75
366,iqaluit,75,CA,1556231565,73,63.75,-68.52,24.8,13.87
367,pushkino,0,RU,1556231434,44,56.01,37.85,63.0,4.47
368,ust-uda,100,RU,1556231801,59,54.17,103.03,44.0,7.94
369,wuchang,1,CN,1556231801,39,44.93,127.16,50.66,7.34
370,diamantino,45,BR,1556231801,73,-14.4,-56.44,77.61,2.84
371,podgornaya,0,RU,1556231802,80,44.22,41.29,45.39,5.1
372,suzhou,33,CN,1556231802,51,33.65,116.96,51.04,10.85
373,bouna,79,CI,1556231693,59,9.27,-3.0,84.81,4.68
374,pemba,100,MZ,1556231802,82,-12.97,40.52,82.43,26.17
375,port-gentil,75,GA,1556229600,94,-0.72,8.78,80.6,6.93
376,vanimo,100,PG,1556231803,72,-2.67,141.3,84.19,6.6
377,vallenar,4,CL,1556231803,59,-28.58,-70.76,62.61,2.77
378,sao borja,90,BR,1556231804,86,-28.66,-56.0,75.43,5.61
379,shubarkuduk,34,KZ,1556231807,73,49.15,56.49,50.55,8.19
380,cayenne,20,GF,1556229600,83,4.94,-52.33,80.6,6.93
381,esperance,20,TT,1556231707,78,10.24,-61.45,84.0,14.99
382,mindelo,75,PT,1556231763,82,41.31,-8.72,55.4,10.29
383,kitgum,51,UG,1556231809,81,3.3,32.88,69.24,3.09
384,sioux lookout,90,CA,1556230380,40,50.1,-91.92,59.0,11.41
385,aguimes,20,ES,1556231128,52,27.91,-15.45,68.0,16.11
386,wajima,100,JP,1556231810,82,37.4,136.9,51.51,21.09
387,richards bay,56,ZA,1556231811,81,-28.77,32.06,73.65,11.65
388,karpathos,91,GR,1556229000,77,35.51,27.21,62.6,4.7
389,cabedelo,20,BR,1556229600,88,-6.97,-34.84,78.8,4.7
390,mandalgovi,51,MN,1556231812,56,45.76,106.27,36.26,15.73
391,bowen,40,AU,1556231790,94,-20.01,148.25,80.01,6.98
392,khor,3,RU,1556231813,34,47.88,134.96,47.78,7.61
393,kidal,50,ML,1556231813,19,18.44,1.41,93.12,7.36
394,ponta delgada,75,PT,1556231783,67,37.73,-25.67,57.2,4.7
395,orange,4,AU,1556231415,63,-33.28,149.1,68.0,12.44
396,araci,31,BR,1556231814,91,-11.34,-38.96,72.6,6.02
397,waipawa,1,NZ,1556231416,67,-39.94,176.59,68.0,1.01
398,wuda,93,CN,1556231815,26,39.5,106.72,50.73,15.39
399,pacific grove,20,US,1556231814,72,36.62,-121.92,87.01,9.17
400,coquimbo,0,CL,1556229600,82,-29.95,-71.34,59.0,11.41
401,pasni,0,PK,1556231816,36,25.26,63.48,80.88,5.75
402,pokhara,1,NP,1556231816,33,28.21,83.99,52.77,4.99
403,zeya,30,RU,1556231817,31,53.74,127.27,44.49,4.63
404,ati,14,TD,1556231817,3,13.21,18.34,84.73,11.86
405,ancud,75,CL,1556229600,81,-41.87,-73.83,53.6,8.05
406,cleveland,90,US,1556231775,51,41.51,-81.69,62.6,3.36
407,nawa,0,IN,1556231818,20,27.02,75.0,84.64,5.23
408,sao francisco do sul,75,BR,1556229600,94,-26.24,-48.64,75.2,1.12
409,liberty,75,US,1556231615,100,39.64,-84.93,70.0,5.82
410,sechura,0,PE,1556231599,84,-5.56,-80.82,72.75,17.2
411,portland,90,US,1556231709,31,45.52,-122.67,75.99,12.75
412,troy,75,US,1556231758,34,42.73,-73.69,66.99,3.91
413,san jose,15,PH,1556231821,52,15.79,120.99,85.27,8.81
414,lichuan,7,CN,1556231821,75,30.3,108.94,71.07,4.61
